NUMERO_BOLETIM;DATAHORA_BOLETIM;DATA_INCLUSAO;TIPO_ACIDENTE;DESC_TIPO_ACIDENTE;COD_TEMPO;DESC_TEMPO;COD_PAVIMENTO;PAVIMENTO;COD_REGIONAL;DESC_REGIONAL;ORIGEM_BOLETIM;LOCAL_SINALIZADO;VELOCIDADE_PERMITIDA;COORDENADA_X;COORDENADA_Y;HORA_INFORMADA;INDICADOR_FATALIDADE;VALOR_UPS;DESCRIÇÃO_UPS;DATA_ALTERACAO_SMSA;VALOR_UPS_ANTIGA;DESCRIÇÃO_UPS_ANTIGA
2021-007105719-001;11/02/202100:48;11/02/202101:49;H08002;CHOQUEMECANICOCOMVITIMA;1;BOM;1;ASFALTO;19;CENTRO-SUL;POLICIAMILITAR;NÃO;0;0000610140.97;0007797168.58;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007123710-001;11/02/202107:42;11/02/202109:28;H01002;ABALROAMENTOCOMVITIMA;1;BOM;1;ASFALTO;25;PAMPULHA;POLICIAMILITAR;NÃO;0;0000608437.44;0007805877.38;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007126310-001;11/02/202108:02;11/02/202108:33;H09002;COLISAODEVEICULOSCOMVITIMA;1;BOM;1;ASFALTO;21;NORDESTE;POLICIAMILITAR;NÃO;0;0000614759.80;0007802935.39;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007134225-001;11/02/202108:59;11/02/202109:19;H06002;ATROPELAMENTODEPESSOASEMVITIMAFATAL;1;BOM;1;ASFALTO;19;CENTRO-SUL;POLICIAMILITAR;NÃO;0;0000610611.43;0007796843.20;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007135126-001;11/02/202109:21;11/02/202109:23;H01002;ABALROAMENTOCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;26;VENDANOVA;POLICIAMILITAR;NÃO;0;0000609639.08;0007808387.10;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007165950-001;08/02/202116:20;11/02/202112:23;H09002;COLISAODEVEICULOSCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;25;PAMPULHA;POLICIAMILITAR;NÃO;0;0000608775.80;0007804252.38;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007175510-001;11/02/202112:52;11/02/202113:34;H01002;ABALROAMENTOCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;19;CENTRO-SUL;POLICIAMILITAR;NÃO;0;0000611504.46;0007797598.42;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007190850-001;11/02/202114:11;11/02/202114:42;H01002;ABALROAMENTOCOMVITIMA;1;BOM;1;ASFALTO;24;OESTE;POLICIAMILITAR;NÃO;0;0000608256.11;0007791846.41;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007197955-001;11/02/202114:16;11/02/202115:05;H01002;ABALROAMENTOCOMVITIMA;1;BOM;1;ASFALTO;21;NORDESTE;POLICIAMILITAR;NÃO;0;0000612084.84;0007800914.54;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007204357-001;11/02/202114:40;11/02/202115:28;H01002;ABALROAMENTOCOMVITIMA;1;BOM;1;ASFALTO;25;PAMPULHA;POLICIAMILITAR;NÃO;0;0000609551.80;0007802028.72;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
